data,totale,nuovi
2026-08-24,61,
2026-08-25,62,1
2026-08-26,65,3
2026-08-27,67,2
2026-08-28,67,0
2026-08-29,67,0
2026-08-30,67,0
2026-08-31,67,0
2026-09-01,75,8
2026-09-02,90,15
2026-09-03,94,4
2026-09-04,96,2
2026-09-05,101,5
2026-09-06,101,0
2026-09-07,102,1
2026-09-08,103,1
2026-09-09,104,1
2026-09-10,106,2
2026-09-11,111,5
2026-09-12,112,1
2026-09-13,118,6
2026-09-14,119,1
2026-09-15,125,6
2026-09-16,128,3
2026-09-17,132,4
2026-09-18,138,6
2026-09-19,138,0
2026-09-20,141,3
2026-09-21,159,18
